job_name,job_area,job_salary,com_name,com_type,com_size,finance_stage,work_year,education,job_benefits
python工程师,石家庄·石家庄·新石北路,6-10K,同风九万里,计算机软件,0-20人,,3-5年,大专,团建聚餐、 节日福利、 加班补助、 五险一金
神经网络算法工程师,石家庄·石家庄·开发区,10-15K,德润,环保,100-499人,,5-10年,本科,
网络维护工程师,石家庄·石家庄·天山海世界,8-13K,北京鑫全域,互联网,20-99人,未融资,1-3年,本科,员工旅游、 底薪加提成、 通讯补贴、 保底工资、 高温补贴、 五险一金、 包吃、 餐补、 加班补助
售后工程师,石家庄·石家庄·新火车站,4-6K,昊天伟业,电子/半导体/集成电路,20-99人,未融资,经验不限,中专/中技,住房补贴、 餐补、 年终奖、 五险一金、 交通补助、 免费班车
环保技术员,石家庄·石家庄·新百广场,4-8K,粲然环保科技有限公司,环保,0-20人,未融资,1-3年,本科,项目提成、 餐补、 五险、 节假日双休、 零食下午茶、 交通补助、 节日福利、 员工旅游、 年终奖
大数据管理（国企）,石家庄·石家庄·,15-25K,某大型互联网公司,互联网,100-499人,未融资,3-5年,本科,五险一金、 带薪年假、 餐补、 通讯补贴、 交通补助
PCB工程师,石家庄·石家庄·友谊南大街,6-11K·13薪,辰丁,通信/网络设备,20-99人,未融资,1-3年,本科,年终奖、 员工生日会、 节日福利、 零食下午茶、 五险一金、 带薪年假、 补充医疗保险
集团IT专员【呼叫中心+五险+发展】,石家庄·石家庄·开发区,4-6K,博岳通信,移动互联网,10000人以上,已上市,经验不限,大专,岗位晋升、 节日福利、 五险、 全勤奖、 员工旅游、 生日福利、 工龄工资、 带薪年假、 零食下午茶
项目总监,石家庄·石家庄·方北,10-15K,智尊文化,广告/公关/会展,20-99人,不需要融资,3-5年,本科,餐补、 补充医疗保险、 全勤奖、 带薪年假、 年终奖、 五险一金、 节日福利、 员工旅游、 通讯补贴、 年度涨薪、 交通补助、 股票期权、 零食下午茶、 定期体检
嵌入式软件工程师,石家庄·石家庄·万象天成,11-20K·13薪,智慧互通,电子/半导体/集成电路,1000-9999人,D轮及以上,3-5年,本科,年终奖、 补充医疗保险、 五险一金、 餐补、 带薪年假、 股票期权、 交通补助、 节日福利
软件工程师,石家庄·石家庄·合作路,4-8K,同为同创,计算机软件,20-99人,未融资,1-3年,本科,五险一金、 节日福利、 员工旅游、 带薪年假、 年终奖
技术储备干部,石家庄·石家庄·大学城,4-8K,清风网安,信息安全,20-99人,未融资,1-3年,本科,全勤奖、 员工旅游、 补充医疗保险、 年终奖、 五险一金、 节日福利、 定期体检、 带薪年假、 通讯补贴
软件项目经理,石家庄·石家庄·新石,4-9K,广州速达软件技术,计算机软件,0-20人,,1-3年,大专,底薪加提成、 带薪年假、 保底工资、 五险一金、 年终奖、 绩效奖金
Java高级工程师,石家庄·石家庄·经济开发区,8-13K,晟道科技,电子/半导体/集成电路,20-99人,未融资,5-10年,本科,年终奖、 包吃、 加班补助、 员工旅游、 股票期权、 节日福利、 带薪年假
网络安全等级保护测评师,石家庄·石家庄·,6-10K,河北翎贺,信息安全,20-99人,未融资,1-3年,本科,通讯补贴、 年终奖、 节日福利、 交通补助、 五险一金、 员工旅游、 全勤奖、 生日福利、 定期体检、 带薪年假
环境研究员（气象）,石家庄·石家庄·,7-12K·14薪,先河环保,数据服务,1000-9999人,已上市,经验不限,本科,全勤奖、 带薪年假、 年终奖、 补充医疗保险、 五险一金
项目管理,石家庄·石家庄·育才,10-15K,腾云信息,计算机服务,20-99人,未融资,3-5年,本科,全勤奖、 年终奖、 生日福利、 生日礼物、 通讯补贴、 节日福利、 员工旅游、 加班补助、 股票期权、 定期体检、 公司食堂、 零食下午茶、 餐补、 五险一金
技术负责人（授权签字人）,石家庄·石家庄·红旗,7-10K,祁冀检测,检测/认证,0-20人,,3-5年,大专,
数通工程师-华三,石家庄·石家庄·万象天成,5-10K,河北华恒信,通信/网络设备,500-999人,不需要融资,1-3年,大专,加班补助、 交通补助、 包住、 法定节假日三薪
软件交付经理,石家庄·石家庄·,18-22K,某大型移动互联网公司,移动互联网,500-999人,不需要融资,经验不限,本科,交通补助、 团建聚餐、 节日福利、 高温补贴、 绩效奖金、 免费工装、 通讯补贴、 五险一金、 意外险、 年终奖、 生日福利、 带薪年假、 定期体检、 补充医疗保险、 法定节假日三薪
.NET工程师,石家庄·石家庄·,7-9K,木鸟民宿,互联网,100-499人,B轮,3-5年,大专,加班补助、 定期体检、 五险一金、 全勤奖、 股票期权、 带薪年假、 零食下午茶、 节日福利、 餐补
安卓开发工程师,石家庄·石家庄·方北,10-15K·14薪,联通雄安产业互联网,移动互联网,500-999人,不需要融资,3-5年,本科,交通补助、 五险一金、 补充医疗保险、 绩效奖金、 团建聚餐、 意外险、 定期体检、 高温补贴、 生日福利、 节日福利、 年终奖、 免费工装、 通讯补贴、 带薪年假、 法定节假日三薪
Java,石家庄·石家庄·青园,15-30K·15薪,中移雄安,移动互联网,1000-9999人,不需要融资,5-10年,本科,年终奖、 五险一金、 六险二金、 通讯补贴、 不加班、 零食下午茶、 补充医疗保险、 住房补贴、 餐补、 节日福利、 包吃、 带薪年假、 定期体检
售前技术支持,石家庄·石家庄·金马,5-10K·13薪,自联,通信/网络设备,20-99人,未融资,3-5年,本科,年终奖、 员工旅游
web前端,石家庄·石家庄·开发区,6-10K,中拟科技,计算机软件,20-99人,,3-5年,大专,
档案整理数字化项目经理,石家庄·石家庄·水上公园,6-8K,晶品,计算机服务,100-499人,不需要融资,1-3年,大专,工龄奖、 股票期权、 带薪年假、 员工旅游、 餐补、 节日福利、 宿舍有空调、 年终奖、 零食下午茶、 五险
中高级java开发工程师,石家庄·石家庄·友谊公园,8-13K,聚森网络,计算机软件,20-99人,未融资,3-5年,本科,团建聚餐、 带薪年假、 五险一金、 加班补助、 餐补、 节日福利、 年终奖
u3d前端程序,石家庄·石家庄·乐汇城,6-10K,铄鸿电子,游戏,20-99人,,1-3年,大专,
环境运维工程师（河南区域,石家庄·石家庄·,4-6K,雷格集团,环保,100-499人,不需要融资,1-3年,大专,加班补助、 五险一金、 节日福利、 员工旅游、 带薪年假、 交通补助、 年终奖、 全勤奖
售前工程师,石家庄·石家庄·天山海世界,5-10K,光之翼,计算机软件,100-499人,未融资,1-3年,本科,带薪年假、 补充医疗保险、 意外险、 员工旅游、 法定节假日三薪、 节假日加班费、 绩效奖金、 节日福利、 全勤奖
项目经理,石家庄·石家庄·,10-11K,河北展耀,工程施工,0-20人,,1-3年,大专,
项目申报专员,石家庄·石家庄·,6-8K,赛默森环保,环保,100-499人,未融资,5-10年,本科,交通补助、 餐补、 加班补助、 全勤奖、 通讯补贴、 补充医疗保险、 节日福利、 五险一金
Java,石家庄·石家庄·益友百货,8-13K,中华通信,通信/网络设备,1000-9999人,不需要融资,1-3年,本科,五险一金、 带薪年假、 定期体检、 生日福利、 年终奖、 免费班车、 交通补助、 意外险、 住房补贴、 通讯补贴、 补充医疗保险、 加班补助、 节日福利、 绩效奖金、 高温补贴
软件实施项目经理,石家庄·石家庄·谈固,6-10K,深圳市昂捷信息技...,计算机软件,100-499人,已上市,3-5年,大专,交通补助、 年终奖、 补充医疗保险、 员工旅游、 五险一金、 带薪年假、 节日福利、 股票期权、 定期体检
射频工程师,石家庄·石家庄·新火车站,8-13K,小辣科技,计算机软件,0-20人,,1-3年,本科,带薪年假、 年终奖、 五险一金
ERP实施顾问,石家庄·石家庄·范西路,4-9K,蝶云科技,计算机软件,20-99人,不需要融资,1-3年,本科,六险一金、 交通补助、 节日福利、 五险一金、 通讯补贴、 员工旅游、 补充医疗保险、 定期体检
数据挖掘工程师,石家庄·石家庄·天山海世界,11-14K,北京易博中天,计算机软件,20-99人,未融资,3-5年,本科,五险一金、 加班补助、 带薪年假、 节日福利、 员工旅游、 年终奖、 零食下午茶
政府项目助理,石家庄·石家庄·天山海世界,5-8K,纪实大数据,数据服务,20-99人,未融资,1-3年,本科,交通补助、 年终奖、 五险一金、 餐补、 生日福利、 运动健身、 节日福利、 加班补助、 零食下午茶、 员工旅游、 员工宿舍、 带薪年假
系统架构师,石家庄·石家庄·中山东路,7-12K,途乐,互联网,0-20人,,5-10年,本科,
软件开发工程师,石家庄·石家庄·万象天成,8-13K,晨光网络,互联网,20-99人,未融资,1-3年,大专,全勤奖、 加班补助、 交通补助、 节日福利、 定期体检、 三险、 员工旅游
售前工程师,石家庄·石家庄·开发区,10-15K,河北初光,汽车零部件,20-99人,未融资,3-5年,大专,带薪年假、 员工旅游、 五险一金、 定期体检、 全勤奖、 餐补、 加班补助、 节日福利、 年终奖
中级JAVA软件工程师,石家庄·石家庄·高柱,6-11K,新昶智能,计算机软件,0-20人,未融资,3-5年,本科,五险一金
