job_name,job_area,job_salary,com_name,com_type,com_size,finance_stage,work_year,education,job_benefits
金蝶系统运维/实施 工程师,厦门·同安区·西柯,8-12K,厦门乐聚食品有限公司,食品/饮料/烟酒,100-499人,未融资,3-5年,大专,包吃，团建聚餐，年终奖，生日礼金，工龄奖，全勤奖，定期体检，介绍费，补充医疗保险，加班补助，带薪年假
CAE算法工程师（疲劳算法方向）,长沙·岳麓区·岳麓大学城,10-15K,迈曦软件,计算机软件,20-99人,未融资,经验不限,本科,包住，年终奖，团建聚餐，餐补，夜班补助，五险一金，带薪年假，交通补助，定期体检
决策规划算法工程师,长沙·岳麓区·含浦,15-25K·13薪,CIDI,汽车生产,100-499人,C轮,1-3年,本科,五险一金，免费班车，补充医疗保险，带薪年假，交通补助，包吃，节日福利，零食下午茶
深度学习高级算法工程师,长沙·开福区·湘雅路,24-35K,中科晶锐,计算机服务,20-99人,A轮,1-3年,本科,年终奖，五险一金，定期体检，零食下午茶，员工旅游，通讯补贴，节日福利，全勤奖
信号处理算法工程师,长沙·岳麓区·梅溪湖南岸,15-16K,景嘉微电子,电子/半导体/集成电路,1000-9999人,已上市,经验不限,本科,交通补助，年终奖，员工季度活动，补充医疗保险，带薪年假，节日福利，股票期权，慰问金，五险一金，员工旅游，餐补，定期体检
算法工程师,长沙·长沙县·星城国际,15-25K·16薪,三一集团,其他行业,10000人以上,已上市,3-5年,本科,股票期权，五险一金，节日福利，年终奖，带薪年假，免费班车，餐补
算法工程师 优秀应届硕士 博士,长沙,10-15K·13薪,迈德威视,智能硬件,100-499人,未融资,经验不限,硕士,全勤奖，年终奖，五险一金，定期体检，带薪年假，员工旅游
研发总监（总工程师）,长沙·雨花区·云塘理工,20-30K·13薪,千视电子,互联网,100-499人,未融资,5-10年,本科,节日福利，通讯补贴，带薪年假，全勤奖，五险，餐补，定期体检，员工旅游，包住，年终奖，交通补助，股票期权，加班补助，提供住宿
算法工程师,长沙,18-24K·15薪,某500强上市公司,机械设备/机电/重工,10000人以上,已上市,经验不限,本科,年终奖，包吃，通讯补贴，五险一金，定期体检，带薪年假，股票期权，免费班车
算法工程师（双休）,长沙·天心区·友阿奥特莱斯,8-13K,奥谱天成,仪器仪表/工业自动化,100-499人,未融资,1-3年,本科,加班补助，零食下午茶，股票期权，员工旅游，年终奖，意外险，节日福利，五险一金
模型部署算法工程师,长沙·雨花区·红星,9-14K,长沙跨鲸科技有限公司,电子商务,20-99人,不需要融资,1-3年,本科,有无线网，团建聚餐，餐补，绩效奖金，全勤奖，节日福利，五险一金，住房补贴，底薪加提成，零食下午茶
算法工程师 （CV）,长沙,20-40K·15薪,某大型互联网公司,机械设备/机电/重工,10000人以上,已上市,1年以内,硕士,免费班车，通讯补贴，年终奖，定期体检，带薪年假，包吃，股票期权，五险一金
算法工程师,长沙,21-30K,某大型通信公司,通信/网络设备,100-499人,未融资,经验不限,本科,
数据算法工程师,长沙,17-30K·14薪,某500强大型高端装备上市公司,机械设备/机电/重工,10000人以上,已上市,经验不限,硕士,带薪年假，定期体检，五险一金，免费班车，年终奖，包吃，通讯补贴，股票期权
数据算法工程师,长沙·岳麓区·商学院,10-15K·13薪,中联智慧农业,农/林/牧/渔,10000人以上,未融资,3-5年,本科,定期体检，加班补助，包住，生日福利，五险一金，补充医疗保险，节假日加班费，免费班车，节日福利，意外险，高温补贴，餐补，交通补助，住房补贴，免费工装，团建聚餐
算法工程师,长沙·芙蓉区·马王堆,10-15K,中烟物流技术,物流/仓储,100-499人,未融资,经验不限,本科,五险一金，生日福利，提供住宿，带薪年假，包吃，定期体检，节日福利，年终奖
算法工程师,长沙,20-30K·16薪,三一重工,企业服务,10000人以上,已上市,3-5年,硕士,五险一金，定期体检，年终奖，节日福利，股票期权，免费班车，餐补，专利奖金，包吃，带薪年假
电机控制算法工程师,长沙,8-13K·15薪,湖大艾盛,机械设备/机电/重工,1000-9999人,不需要融资,经验不限,本科,带薪年假，年终奖，定期体检，补充医疗保险，加班补助，员工旅游，五险一金，住房补贴，通讯补贴，餐补，交通补助
计算机视觉算法工程师,长沙,20-40K·13薪,海信网络科技,互联网,1000-9999人,不需要融资,3-5年,本科,五险一金，定期体检，年终奖，节日福利，通讯补贴，带薪年假，交通补助
运动控制算法工程师,长沙,20-40K·15薪,某大型电子上市公司,电子/半导体/集成电路,500-999人,已上市,经验不限,本科,年终奖，全勤奖，工龄奖，意外险，免费班车，餐补，包吃，交通补助，带薪年假，住房补贴，生日福利，员工旅游，补充医疗保险，节日福利，加班补助，团建聚餐，五险一金，定期体检
数据算法工程师,长沙·岳麓区·望岳,12-16K·15薪,中联重科,机械设备/机电/重工,10000人以上,已上市,3-5年,本科,带薪年假，通讯补贴，年终奖，股票期权，定期体检，五险一金，免费班车，包吃
算法工程师,长沙·岳麓区·麓谷,14-25K·14薪,威胜集团,仪器仪表/工业自动化,1000-9999人,已上市,经验不限,本科,五险一金，补充医疗保险，定期体检，节日福利，股票期权，年终奖，免费班车，包吃，带薪年假
算法工程师,长沙·岳麓区·麓谷,20-40K·14薪,华为,计算机软件,10000人以上,不需要融资,经验不限,本科,餐补，年终奖，员工旅游，节日福利，零食下午茶，定期体检，加班补助，补充医疗保险，股票期权，五险一金
运筹优化算法工程师,长沙·岳麓区·麓谷,12-24K·15薪,中科云谷,互联网,500-999人,未融资,经验不限,硕士,宿舍有空调，五险一金，夜班补助，补充医疗保险，住房补贴，节日福利，生日福利，节假日加班费，员工旅游，年终奖，带薪年假，工龄奖，团建聚餐，定期体检，绩效奖金，加班补助，餐补，免费工装，免费班车，包住
算法工程师,长沙·雨花区·雨花亭,15-30K,烁星宇,智能硬件,0-20人,未融资,经验不限,学历不限,五险一金，员工旅游，节日福利，餐补，年终奖，股票期权，通讯补贴，交通补助，加班补助，住房补贴，保底工资，底薪加提成，绩效奖金，生日福利，全勤奖，包吃，定期体检，带薪年假，零食下午茶，补充医疗保险
仿真算法工程师,长沙·开福区·四方坪,7-12K,云中赛博,电子/半导体/集成电路,0-20人,不需要融资,经验不限,本科,五险一金，节日福利，带薪年假，住房补贴，加班补助，员工旅游
算法工程师（机器视觉）,长沙·长沙县·黄花机场,12-20K·13薪,山河智能装备股份...,机械设备/机电/重工,1000-9999人,已上市,1-3年,硕士,五险一金，定期体检
风功率预测算法工程师,长沙,30-45K,某大型通信公司,通信/网络设备,100-499人,未融资,3-5年,本科,加班补助，员工旅游，全勤奖，定期体检，生日福利，工龄奖，五险一金，零食下午茶，年终奖，交通补助，餐补，团建聚餐，节日福利，带薪年假
算法工程师,长沙·岳麓区·麓谷,20-35K·14薪,斯北图,通信/网络设备,20-99人,A轮,3-5年,本科,带薪年假，加班补助，年终奖，交通补助，零食下午茶，股票期权，员工旅游，五险一金，餐补，补充医疗保险，节日福利，定期体检
算法工程师,长沙·岳麓区·洋湖垸,4-6K·13薪,筑瞰科技,检测/认证,0-20人,未融资,经验不限,学历不限,
信号处理算法工程师,长沙·岳麓区·含浦,15-25K·14薪,湖南联新创慧,移动互联网,0-20人,未融资,1-3年,本科,
仿真算法工程师,长沙,20-25K,某500强上市公司,机械设备/机电/重工,10000人以上,已上市,3-5年,本科,通讯补贴，免费班车，五险一金，股票期权，年终奖，包吃，定期体检，带薪年假
组合导航算法工程师,长沙·岳麓区·麓谷,15-30K·14薪,湖南北云科技有限公司,移动互联网,100-499人,B轮,经验不限,硕士,年终奖，团建聚餐，全勤奖，生日福利，节日福利，绩效奖金，五险一金，员工旅游，零食下午茶，股票期权，带薪年假，工龄奖
信号处理算法工程师,长沙·开福区·伍家岭,6-11K·13薪,湖南猎航电子科技,互联网,20-99人,未融资,1-3年,本科,定期体检，员工旅游，餐补，年终奖，五险一金，带薪年假，节日福利，通讯补贴，交通补助
初级算法工程师,长沙·雨花区·云塘理工,7-12K·15薪,木牛机器人,计算机硬件,20-99人,未融资,经验不限,本科,员工旅游，股票期权，年终奖，零食下午茶，五险一金，节日福利，包吃，带薪年假
机器学习算法工程师,长沙,20-30K,某500强上市公司,机械设备/机电/重工,10000人以上,已上市,经验不限,本科,定期体检，包吃，年终奖，带薪年假，五险一金，股票期权，免费班车，通讯补贴
AI人工智能算法工程师,长沙·岳麓区·含浦,10-15K,长沙汽车创新研究院,政府/公共事业,20-99人,不需要融资,3-5年,硕士,法定节假日三薪，餐补，五险一金，意外险
算法工程师（双休）,长沙·岳麓区·麓谷,12-20K·13薪,小奔体育,智能硬件,20-99人,不需要融资,3-5年,本科,节日福利，周末双休，带薪年假，五险一金，年终奖
域控制器算法工程师,长沙,12-24K·16薪,三一汽车制造,机械设备/机电/重工,10000人以上,未融资,经验不限,硕士,五险一金，股票期权，年终奖，带薪年假，免费班车，节日福利，餐补
规划算法工程师,长沙,15-30K·14薪,某大型计算机软件公司,计算机软件,500-999人,C轮,经验不限,本科,带薪年假，定期体检，免费班车，意外险，团建聚餐，节日福利，股票期权，年终奖，餐补，交通补助，补充医疗保险，加班补助，生日福利，员工旅游，零食下午茶
数据挖掘算法工程师,长沙,18-25K,健盟网络科技,移动互联网,100-499人,不需要融资,1-3年,本科,绩效奖金，零食下午茶，团建聚餐，年终奖，五险一金
算法工程师C++,长沙·岳麓区·观沙岭,11-22K,博研智通,计算机软件,100-499人,B轮,1-3年,本科,五险一金，全勤奖，员工旅游，餐补，加班补助，年终奖，定期体检，带薪年假，节日福利
SLAM算法工程师,长沙,5-10K,千辰科技,仪器仪表/工业自动化,20-99人,未融资,1-3年,本科,
机器视觉算法工程师,长沙·开福区·伍家岭,10-15K,鹰眼科技,计算机软件,0-20人,未融资,经验不限,硕士,节日福利，年终奖，加班补助，住房补贴，餐补，定期体检，带薪年假，五险一金，零食下午茶，员工旅游
算法工程师+双休+五险一金,长沙·岳麓区·含浦,12-24K,优浪,计算机软件,20-99人,不需要融资,3-5年,本科,五险一金，股票期权，交通补助，节日福利
初级算法工程师,长沙·天心区·暮云镇,7-12K,长沙市云牛机器人科技,互联网,20-99人,未融资,1-3年,本科,节日福利，股票期权，意外险，零食下午茶，团建聚餐，五险一金，带薪年假，定期体检，生日福利，年终奖，员工旅游，包吃
算法工程师,长沙·岳麓区·麓谷,11-12K·13薪,亚光科技,电子/半导体/集成电路,1000-9999人,已上市,1-3年,硕士,免费班车，带薪年假，餐补，五险一金，节日福利
算法工程师,长沙·开福区·伍家岭,10-15K·13薪,驭电信息,计算机软件,20-99人,未融资,经验不限,本科,餐补，全勤奖，五险一金，节日福利，带薪年假，年终奖
机器视觉算法工程师,长沙·岳麓区·麓谷,12-24K·16薪,中联环境,机械设备/机电/重工,1000-9999人,已上市,5-10年,本科,节日福利，免费班车，带薪年假，五险一金，年终奖，补充医疗保险，包吃，定期体检，员工旅游
人工智能算法工程师,长沙·开福区·马栏山,12-24K·13薪,马栏山视频研究院,计算机软件,20-99人,A轮,1-3年,本科,住房补贴，餐补，股票期权，年终奖，五险一金
SLAM算法工程师,长沙·长沙县·黄花机场,15-30K,蓝思系统,智能硬件,500-999人,未融资,1-3年,大专,节日福利，餐补，住房补贴，五险一金，带薪年假，年终奖，免费班车，定期体检
c/c++算法工程师,长沙·开福区·开福区政府,8-12K·13薪,睿羿科技长沙,计算机软件,20-99人,未融资,1-3年,本科,五险一金，通讯补贴
CSDN算法工程师（六险一金双休）,长沙·岳麓区·麓谷,17-28K,CSDN,互联网,1000-9999人,B轮,3-5年,本科,团建聚餐，五险一金，补充医疗保险，定期体检，股票期权，年终奖，带薪年假，餐补，生日福利，节日福利
算法工程师,长沙,15-30K·13薪,某新闻公司,新闻/出版,20-99人,未融资,经验不限,硕士,加班补助，带薪寒暑假，定期体检，五险一金，餐补，节日福利，每年外出培训，通讯补贴
算法工程师,长沙·开福区·四方坪,11-20K·14薪,艾科诺维,通信/网络设备,100-499人,未融资,经验不限,本科,年终奖，节日福利，零食下午茶，定期体检，生日福利，团建聚餐，带薪年假，通讯补贴，五险一金，住房补贴，员工旅游
算法工程师,长沙·岳麓区·麓谷,20-40K,华为技术有限公司,计算机软件,10000人以上,不需要融资,经验不限,本科,节日福利，补充医疗保险，年终奖，五险一金，定期体检，带薪年假，餐补，股票期权，通讯补贴，全勤奖，免费班车，加班补助，交通补助，住房补贴，零食下午茶，员工旅游，离职补偿
算法工程师,长沙,15-30K,某知名通信公司,通信/网络设备,1000-9999人,未融资,经验不限,本科,
电机控制算法工程师,长沙·岳麓区·麓谷,14-20K·13薪,高至科技,计算机软件,100-499人,未融资,经验不限,本科,定期体检，补充医疗保险，带薪年假，五险一金，节日福利
跟踪算法工程师,长沙,20-40K,某大型知名机械设备公司,机械设备/机电/重工,10000人以上,未融资,5-10年,本科,
算法工程师,长沙·岳麓区·麓谷,20-30K,源科创新,电子/半导体/集成电路,100-499人,不需要融资,3-5年,本科,通讯补贴，带薪年假，餐补，加班补助，节日福利，年终奖，五险一金，员工旅游
算法工程师,长沙,11-18K,深圳人通,计算机软件,20-99人,不需要融资,3-5年,本科,
算法工程师,长沙,20-25K,某智能硬件公司,智能硬件,0-20人,不需要融资,经验不限,学历不限,五险一金
自动驾驶算法工程师,长沙,15-25K·15薪,某大型汽车生产公司,汽车生产,100-499人,C轮,1-3年,本科,五险一金，带薪年假，包吃，节日福利，免费班车，补充医疗保险，交通补助，零食下午茶
人工智能算法工程师,长沙·望城区·雷锋镇,15-30K·18薪,谷医堂(湖南)健...,医疗健康,1000-9999人,不需要融资,3-5年,本科,全勤奖，年终奖，补充医疗保险，加班补助，节日福利，五险，休假，餐补，带薪年假，员工旅游，定期体检，零食下午茶，交通补助，通讯补贴
车辆控制算法工程师,长沙,15-30K,创远高新,机械设备/机电/重工,100-499人,C轮,5-10年,本科,补充医疗保险，免费班车，宁乡包吃包住，员工旅游，餐补，年终奖，五险一金，节日福利
计算机视觉算法工程师,长沙·岳麓区·麓谷,15-30K·15薪,LANGO,电子/半导体/集成电路,100-499人,C轮,经验不限,硕士,股票期权，零食下午茶，定期体检，年终奖，五险一金，员工旅游，补充医疗保险，加班补助，节日福利，带薪年假，包吃
slam算法工程师,长沙,16-25K·14薪,某大型通信公司,通信/网络设备,100-499人,未融资,经验不限,硕士,节日福利，零食下午茶，免费班车，定期体检，年终奖，餐补，五险一金，带薪年假
图像处理算法工程师,长沙·望城区·月亮岛,11-20K,北京中星时代,通信/网络设备,100-499人,未融资,1-3年,本科,带薪年假，员工旅游，年终奖，餐补，节日福利，五险一金，全勤奖，零食下午茶
多传感器融合算法工程师,长沙·长沙县·榔梨镇,18-35K,长沙行深智能科技...,其他行业,100-499人,B轮,3-5年,本科,五险一金，交通补助，年终奖，团建聚餐，定期体检，补充医疗保险，股票期权，高温补贴，餐补，加班补助，节日福利，带薪年假，住房补贴
